Entry,Hits
"sed -i '/\/var\/cache/d' $1 $3",49
"sed -i '/\/var\/run/d' $1 $3",97
"sed -i '/\/var\/tmp/d' $1 $3",0
"sed -i '/\/var\/lib\/NetworkManager/d' $1 $3",36
"sed -i '/\/var\/lib\/upower/d' $1 $3",40
"sed -i '/\/var\/log/d' $1 $3",220
"sed -i '/\/opt\/porteus-scripts/d' $1 $3",326
"sed -i '/\/usr\/share\/mime/d' $1 $3",13938
"sed -i '/\/usr\/share\/glib-2\.0\/schemas/d' $1 $3",0
"sed -i '/\/usr\/lib64\/libXc/d' $1 $3",0
"sed -i '/\/usr\/lib64\/libudev/d' $1 $3",0
"sed -i '/\/var\/db\/sudo\/lectured\/1000/d' $1 $3",0
"sed -i '/\/home\/'"${2}"'\/\.config\/dolphinrc/d' $1 $3",9
"sed -i '/\/home\/'"${2}"'\/\.config\/konsolerc/d' $1 $3",23
"sed -i '/\/home\/'"${2}"'\/\.config\/featherpad\/fp\.conf/d' $1 $3",21
"sed -i '/\.config\/glib-2\.0\/settings\/keyfile/d' $1 $3",8
"sed -i '/\.bash_history/d' $1 $3",32
"sed -i '/\.cache/d' $1 $3",80882
"sed -i '/\.dbus/d' $1 $3",10
"sed -i '/\.gvfs/d' $1 $3",0
"sed -i '/\.gconf/d' $1 $3",0
"sed -i '/\.gnupg/d' $1 $3",117
"sed -i '/\.local\/share/d' $1 $3",30056
"sed -i '/\.xsession/d' $1 $3",45
"sed -i '/\/home\/'"${2}"'\/\.config/d' $1 $3",17460
"sed -i '/\/home\/'"${2}"'\/Downloads\/rntfiles/d' $1 $3",109
"sed -i '/\/root\/\.auth/d' $1 $3",0
"sed -i '/\/root\/\.config/d' $1 $3",0
"sed -i '/\/root\/\.lesshst/d' $1 $3",0
"sed -i '/\/root\/\.xauth/d' $1 $3",49
